"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Pterodroma externa",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma neglecta",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma heraldica",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma arminjoniana",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma atrata",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma alba",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma baraui",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma sandwichensis",NA,NA,"EN","Endangered",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma cervicalis",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma nigripennis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma hypoleuca",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma leucoptera",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma brevipes",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma cookii",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma defilippiana",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma longirostris","VU","Vulnerable","VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma pycrofti",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pseudobulweria rostrata",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Procellaria cinerea",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Procellaria conspicillata",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Procellaria parkinsoni",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Procellaria westlandica",NA,NA,"EN","Endangered","EN","Endangered","VU","Vulnerable",NA,NA,NA,NA
"Calonectris edwardsii",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Ardenna pacifica",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Ardenna bulleri",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Ardenna grisea","NT","Near Threatened","NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Ardenna tenuirostris",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Ardenna creatopus",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Ardenna carneipes",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Ardenna gravis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Puffinus nativitatis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Puffinus puffinus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Puffinus opisthomelas",NA,NA,NA,NA,NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Puffinus gavia",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Puffinus huttoni","EN","Endangered","EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Puffinus heinrothi",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Bulweria bulwerii",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Oceanites oceanicus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Oceanites gracilis",NA,NA,"DD","Data Deficient",NA,NA,"DD","Data Deficient",NA,NA,NA,NA
"Garrodia nereis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelagodroma marina",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fregetta grallaria",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fregetta tropica",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Nesofregetta fuliginosa",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Hydrobates pelagicus",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Pelecanoides garnotii","EN","Endangered","EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pelecanoides magellani",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanoides urinatrix",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Podiceps major",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Podiceps grisegena",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Podiceps cristatus","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Podiceps nigricollis",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Aechmophorus occidentalis","LC","Least Concern",NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Aechmophorus clarkii",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phaethon aethereus","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phaethon rubricauda",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phaethon lepturus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanus onocrotalus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanus crispus",NA,NA,NA,NA,"NT","Near Threatened","VU","Vulnerable",NA,NA,NA,NA
"Pelecanus conspicillatus",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanus erythrorhynchos",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanus occidentalis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pelecanus thagus",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Fregata aquila",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Fregata magnificens",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fregata minor",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Fregata ariel",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Morus bassanus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Morus capensis",NA,NA,"EN","Endangered","EN","Endangered","VU","Vulnerable",NA,NA,NA,NA
"Morus serrator",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Papasula abbotti","EN","Endangered","EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Sula nebouxii",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sula variegata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
